threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,log_loss,brier_score,positive_prediction_rate
0.05,0.22116666666666668,0.5,0.22116666666666668,1.0,0.362221918929985,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,1.0
0.06,0.22116666666666668,0.5,0.22116666666666668,1.0,0.362221918929985,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,1.0
0.07,0.22116666666666668,0.5,0.22116666666666668,1.0,0.362221918929985,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,1.0
0.08,0.22183333333333333,0.5001581984789402,0.22122122122122123,0.9992464204973625,0.3622455948640896,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.999
0.09,0.2245,0.5016003687105017,0.22172021419009372,0.9984928409947249,0.362864576201561,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.996
0.1,0.23183333333333334,0.5063082651367804,0.22336480107889414,0.9984928409947249,0.36506405841024936,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.9886666666666667
0.11,0.24266666666666667,0.5129933200248796,0.2257459505541347,0.9977392614920875,0.3681868743047831,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.9775
0.12,0.25483333333333336,0.5194551876603251,0.22812175717744726,0.9939713639788997,0.37107891405260934,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.9636666666666667
0.13,0.2633333333333333,0.5235631070826313,0.22968012585212375,0.9902034664657121,0.3728717366628831,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.9535
0.14,0.2796666666666667,0.5332395000799056,0.23339861135837636,0.9879427279577996,0.3775921658986175,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.9361666666666667
0.15,0.295,0.5414645308850681,0.2367132232904045,0.9834212509419744,0.3815789473684211,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.9188333333333333
0.16,0.3095,0.5496941576705056,0.24012550756736803,0.9804069329314242,0.38576723498888066,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.903
0.17,0.3225,0.5569608056414771,0.2432483120780195,0.9773926149208741,0.38954798017720377,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.8886666666666667
0.18,0.33716666666666667,0.5652974300729664,0.24694423223834988,0.9743782969103241,0.3940271217431053,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.8726666666666667
0.19,0.34833333333333333,0.5708475197268343,0.24956369982547993,0.9698568198944989,0.3969771745835904,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.8595
0.2,0.36133333333333334,0.5770349992767378,0.25261702547896503,0.9638281838733986,0.4003129890453834,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.8438333333333333
0.21,0.375,0.5831108852003146,0.25579520258012495,0.9562923888470234,0.4036259541984733,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.8268333333333333
0.22,0.3888333333333333,0.5895635608752101,0.25925925925925924,0.9495101733232856,0.4073056408598675,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.81
0.23,0.40116666666666667,0.5955928419461735,0.26257334450963954,0.9442351168048229,0.41088703066076404,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.7953333333333333
0.24,0.41433333333333333,0.6013477349315949,0.26599614808474215,0.9366993217784476,0.41433333333333333,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.7788333333333334
0.25,0.429,0.6083353988367494,0.27019925552879354,0.9299171062547099,0.4187309127926705,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.7611666666666667
0.26,0.44566666666666666,0.6166070344945253,0.27534277365700155,0.9231348907309721,0.42416897506925205,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.7415
0.27,0.46316666666666667,0.625953242593094,0.2812933025404157,0.9178598342125094,0.4306169347710801,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.7216666666666667
0.28,0.48133333333333334,0.634378480749535,0.2873481057898499,0.908816880180859,0.4366401158580739,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.6995
0.29,0.4985,0.6424315251349323,0.29346758349705304,0.9005275056518462,0.4426745693646972,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.6786666666666666
0.3,0.5165,0.6512893498558555,0.30045638945233266,0.892991710625471,0.4496300512236767,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.6573333333333333
0.31,0.5323333333333333,0.6590259972833725,0.3069694596711042,0.8862094951017332,0.455990694067468,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.6385
0.32,0.547,0.6646647006621921,0.31278600269179,0.8756593820648079,0.46092820309401034,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.6191666666666666
0.33,0.5598333333333333,0.668317053618641,0.3177025527192009,0.8628485305199699,0.46440884201987426,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.6006666666666667
0.34,0.5748333333333333,0.6744395443948312,0.32454128440366975,0.853051996985682,0.47019730010384214,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.5813333333333334
0.35,0.5915,0.6802830511052043,0.33233890214797135,0.8394875659382065,0.4761701218209019,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.5586666666666666
0.36,0.602,0.6802791001747923,0.3362148811361531,0.8206480783722683,0.47700394218134035,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.5398333333333334
0.37,0.6185,0.6873645697654486,0.3455362877328195,0.8108515448379804,0.48457554604818737,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.519
