model_name,best_params_json,selection_metric,validation_pr_auc,validation_roc_auc,validation_default_threshold,validation_selected_threshold_f1,validation_default_f1,validation_tuned_f1,validation_default_balanced_accuracy,validation_tuned_balanced_accuracy
hist_gradient_boosting,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 300, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",validation_pr_auc,0.547593412587478,0.7839340978356804,0.5,0.57,0.5338516358924522,0.5458547322083639,0.7103249583821891,0.7102481168172401
mlp_neural_network,"{""alpha"": 0.0001, ""batch_size"": 256, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.001, ""max_iter"": 250}",validation_pr_auc,0.5392859522687676,0.7710078629965695,0.5,0.25,0.4453524004085802,0.5401834862385321,0.6434157905948827,0.7064848152843275
