model_name,metric_set,label,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,log_loss,brier_score,positive_prediction_rate
hist_gradient_boosting,default_0.5,hist_gradient_boosting | default 0.5,0.5,0.7601666666666667,0.7103249583821891,0.4681818181818182,0.6209495101733233,0.5338516358924522,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.29333333333333333
hist_gradient_boosting,tuned_threshold_f1,hist_gradient_boosting | tuned F1,0.57,0.7936666666666666,0.7102481168172401,0.5318084345961401,0.560663149962321,0.5458547322083639,0.7839340978356804,0.547593412587478,0.5380414648190199,0.17771716140679847,0.23316666666666666
mlp_neural_network,default_0.5,mlp_neural_network | default 0.5,0.5,0.819,0.6434157905948827,0.6909667194928685,0.3285606631499623,0.4453524004085802,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.10516666666666667
mlp_neural_network,tuned_threshold_f1,mlp_neural_network | tuned F1,0.25,0.7911666666666667,0.7064848152843275,0.5264663805436338,0.5546345139412208,0.5401834862385321,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.233
