threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,log_loss,brier_score,positive_prediction_rate
0.05,0.2808333333333333,0.5329093151812001,0.23330953230988932,0.9849284099472494,0.37725501515370186,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.9336666666666666
0.06,0.30933333333333335,0.5482381994981189,0.23960066555740434,0.9766390354182366,0.3847980997624703,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.9015
0.07,0.3421666666666667,0.5644604778755153,0.24690880989180836,0.9630746043707611,0.39304936183300015,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.8626666666666667
0.08,0.37966666666666665,0.582869314026561,0.25606029741291503,0.947249434815373,0.40314304041051957,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.8181666666666667
0.09,0.4181666666666667,0.5992222150012474,0.26559792027729634,0.9238884702336096,0.4125862359077907,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.7693333333333333
0.1,0.4615,0.6216457608693724,0.2794253938832252,0.908816880180859,0.4274322169059011,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.7193333333333334
0.11,0.505,0.6417481754361465,0.2944708531398549,0.8869630746043707,0.44214876033057854,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.6661666666666667
0.12,0.5446666666666666,0.6569615151963266,0.3092587564485474,0.8583270535041447,0.4546906187624751,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.6138333333333333
0.13,0.584,0.6689931465064665,0.3254702896386981,0.8214016578749058,0.4662104362703165,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.5581666666666667
0.14,0.6185,0.6771124697653035,0.3416721527320606,0.7822155237377544,0.4756013745704467,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.5063333333333333
0.15,0.649,0.6837430179399655,0.35882566147154765,0.746043707611153,0.4845814977973568,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.4598333333333333
0.16,0.6748333333333333,0.6900755530778473,0.37658227848101267,0.7174076865109269,0.4939040207522698,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.42133333333333334
0.17,0.6945,0.6911002147854781,0.3911359724612737,0.6850037678975132,0.4979457682826623,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.3873333333333333
0.18,0.7155,0.6981069076615959,0.4116279069767442,0.6669178598342125,0.5090595340811044,0.7710078629965695,0.5392859522687676,0.4357419883638573,0.13609317666459117,0.35833333333333334
