LIMIT_BAL_BIN,n,error_rate,fp_rate,fn_rate,actual_default_rate,predicted_positive_rate
<=50k,1536,0.287109375,0.17838541666666666,0.10872395833333333,0.3177083333333333,0.3873697916666667
50k-100k,958,0.22338204592901878,0.12734864300626306,0.09603340292275574,0.2609603340292276,0.29227557411273486
100k-200k,1575,0.19682539682539682,0.09587301587301587,0.10095238095238095,0.1961904761904762,0.19111111111111112
200k-500k,1885,0.14111405835543767,0.057294429708222815,0.08381962864721486,0.14323607427055704,0.11671087533156499
>500k,46,0.15217391304347827,0.0,0.15217391304347827,0.21739130434782608,0.06521739130434782
