EDUCATION,n,error_rate,fp_rate,fn_rate,actual_default_rate,predicted_positive_rate
0,1,0.0,0.0,0.0,0.0,0.0
1,2084,0.19433781190019195,0.09404990403071017,0.10028790786948176,0.19961612284069097,0.1933781190019194
2,2838,0.21141649048625794,0.11169837914023961,0.09971811134601832,0.23361522198731502,0.24559548978153628
3,977,0.22517911975435004,0.13715455475946775,0.08802456499488229,0.24667349027635618,0.29580348004094165
4,29,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
5,62,0.12903225806451613,0.0967741935483871,0.03225806451612903,0.06451612903225806,0.12903225806451613
6,9,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111
