AGE_BIN,n,error_rate,fp_rate,fn_rate,actual_default_rate,predicted_positive_rate
<=25,731,0.24350205198358413,0.1381668946648427,0.10533515731874145,0.253077975376197,0.2859097127222982
26-35,2605,0.19117082533589252,0.10326295585412668,0.08790786948176584,0.19040307101727447,0.20575815738963532
36-45,1736,0.201036866359447,0.10023041474654378,0.10080645161290322,0.22983870967741934,0.22926267281105991
46-55,761,0.22733245729303547,0.11432325886990802,0.11300919842312747,0.266754270696452,0.2680683311432326
56+,167,0.23952095808383234,0.1437125748502994,0.09580838323353294,0.2634730538922156,0.31137724550898205
